James,485666816 kb,22-01-2003,Bath,Kingsway,76
Alex,264307712 kb,04-04-2008,Bangor,Canal,69
Ben,948023296 kb,08-02-2011,Brislot,Mosley,42
Tom,551757824 kb,21-05-2002,Belfast,Portland,1
Ryan,938511360 kb,06-03-2011,Bradford,Sackville,19
Liam,713207808 kb,30-01-2016,Carlisle,Oxford,94
Harry,753652736 kb,01-01-2017,Exeter,Princess,92
David,253416448 kb,05-08-2000,Lancaster,Quay,59
Joe,426900480 kb,01-04-2002,Norwich,Spring,23
Lewis,915372032 kb,04-03-2007,Perth,Wilmslow,79
James,484740096 kb,19-08-2013,Bath,Kingsway,19
Alex,120553472 kb,22-09-1999,Bangor,Canal,44
Ben,546492416 kb,11-11-1994,Brislot,Mosley,55
Tom,787889152 kb,23-08-1993,Belfast,Portland,71
Ryan,341490688 kb,04-02-1995,Bradford,Sackville,13
Liam,217264128 kb,08-04-2002,Carlisle,Oxford,70
Harry,567059456 kb,12-03-1998,Exeter,Princess,14
David,3424256 kb,06-07-2001,Lancaster,Quay,25
Joe,941292544 kb,07-10-2012,Norwich,Spring,71
Lewis,378452992 kb,30-10-2013,Perth,Wilmslow,24
